step	T	P	Q	Emptymeas	CalcC_atrazin_335656	Mstock	Mavail	Munavail	Fapplic	M_to_apply	T_sum	Fapplicgreen	M_green_to_apply
0	-2.91394283	0	0.03	NaN	0	0	0	0	0	0	0	0	0
1	-2.91394283	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
2	-2.91394283	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
3	-2.91394283	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
4	-2.91394283	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
5	-2.91394283	0.02	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
6	-2.91394283	0.08	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
7	-2.91394283	0.33	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
8	-2.91394283	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
9	-2.91394283	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
10	-2.91394283	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
11	-2.91394283	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
12	-2.91394283	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
13	-2.91394283	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
14	-2.91394283	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
15	-2.91394283	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
16	-2.91394283	0.17	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
17	-2.91394283	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
18	-2.91394283	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
19	-2.91394283	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
20	-2.91394283	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
21	-2.91394283	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
22	-2.91394283	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
23	-2.91394283	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
24	-1.96394286	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
25	-1.96394286	0.07	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
26	-1.96394286	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
27	-1.96394286	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
28	-1.96394286	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
29	-1.96394286	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
30	-1.96394286	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
31	-1.96394286	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
32	-1.96394286	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
33	-1.96394286	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
