step	T	P	Q	Emptymeas
0	-4.4251649835474405	0.0	0.04	N/A
1	-4.4251649835474405	0.0	0.04	N/A
2	-4.4251649835474405	0.0	0.04	N/A
3	-4.4251649835474405	0.0	0.04	N/A
4	-4.4251649835474405	0.0	0.04	N/A
5	-4.4251649835474405	0.0	0.04	N/A
6	-4.4251649835474405	0.0	0.04	N/A
7	-4.4251649835474405	0.0	0.04	N/A
8	-4.4251649835474405	0.0	0.04	N/A
9	-4.4251649835474405	0.0	0.04	N/A
10	-4.4251649835474405	0.0	0.04	N/A
11	-4.4251649835474405	0.0	0.04	N/A
12	-4.4251649835474405	0.0	0.04	N/A
13	-4.4251649835474405	0.0	0.04	N/A
14	-4.4251649835474405	0.0	0.04	N/A
15	-4.4251649835474405	0.0	0.04	N/A
16	-4.4251649835474405	0.63	0.04	N/A
17	-4.4251649835474405	0.25	0.04	N/A
18	-4.4251649835474405	0.0	0.04	N/A
19	-4.4251649835474405	0.0	0.04	N/A
20	-4.4251649835474405	0.0	0.04	N/A
21	-4.4251649835474405	0.0	0.04	N/A
22	-4.4251649835474405	0.0	0.04	N/A
23	-4.4251649835474405	0.0	0.04	N/A
24	-3.3851650067963703	0.0	0.04	N/A
25	-3.3851650067963703	0.0	0.04	N/A
26	-3.3851650067963703	0.0	0.04	N/A
27	-3.3851650067963703	0.0	0.04	N/A
28	-3.3851650067963703	0.0	0.04	N/A
29	-3.3851650067963703	0.0	0.04	N/A
30	-3.3851650067963703	0.07	0.04	N/A
31	-3.3851650067963703	0.0	0.04	N/A
32	-3.3851650067963703	0.0	0.04	N/A
33	-3.3851650067963703	0.0	0.04	N/A
34	-3.3851650067963703	0.0	0.04	N/A
35	-3.3851650067963703	0.0	0.04	N/A
36	-3.3851650067963703	0.0	0.04	N/A
37	-3.3851650067963703	0.0	0.04	N/A
38	-3.3851650067963703	0.0	0.04	N/A
39	-3.3851650067963703	0.0	0.04	N/A
40	-3.3851650067963703	0.0	0.04	N/A
41	-3.3851650067963703	0.0	0.04	N/A
42	-3.3851650067963703	0.0	0.04	N/A
43	-3.3851650067963703	0.0	0.04	N/A
44	-3.3851650067963703	0.0	0.04	N/A
45	-3.3851650067963703	0.0	0.04	N/A
46	-3.3851650067963703	0.0	0.04	N/A
47	-3.3851650067963703	0.0	0.04	N/A
48	-4.995164970805241	0.0	0.04	N/A
49	-4.995164970805241	0.0	0.04	N/A
50	-4.995164970805241	0.0	0.04	N/A
51	-4.995164970805241	0.0	0.04	N/A
52	-4.995164970805241	0.0	0.04	N/A
53	-4.995164970805241	0.0	0.04	N/A
54	-4.995164970805241	0.0	0.04	N/A
55	-4.995164970805241	0.0	0.04	N/A
56	-4.995164970805241	0.0	0.04	N/A
57	-4.995164970805241	0.0	0.04	N/A
58	-4.995164970805241	0.0	0.04	N/A
59	-4.995164970805241	0.0	0.04	N/A
60	-4.995164970805241	0.0	0.04	N/A
61	-4.995164970805241	0.0	0.04	N/A
62	-4.995164970805241	0.0	0.04	N/A
63	-4.995164970805241	0.0	0.04	N/A
64	-4.995164970805241	0.0	0.04	N/A
65	-4.995164970805241	0.0	0.04	N/A
66	-4.995164970805241	0.0	0.04	N/A
67	-4.995164970805241	0.0	0.04	N/A
68	-4.995164970805241	0.0	0.04	N/A
69	-4.995164970805241	0.0	0.04	N/A
70	-4.995164970805241	0.0	0.04	N/A
71	-4.995164970805241	0.0	0.04	N/A
72	-5.64516495627466	0.0	0.04	N/A
73	-5.64516495627466	0.0	0.04	N/A
74	-5.64516495627466	0.0	0.04	N/A
75	-5.64516495627466	0.0	0.04	N/A
76	-5.64516495627466	0.0	0.04	N/A
77	-5.64516495627466	0.0	0.04	N/A
78	-5.64516495627466	0.0	0.04	N/A
79	-5.64516495627466	0.0	0.04	N/A
80	-5.64516495627466	0.0	0.04	N/A
81	-5.64516495627466	0.0	0.04	N/A
82	-5.64516495627466	0.0	0.04	N/A
83	-5.64516495627466	0.0	0.04	N/A
84	-5.64516495627466	0.0	0.04	N/A
85	-5.64516495627466	0.0	0.04	N/A
86	-5.64516495627466	0.0	0.04	N/A
87	-5.64516495627466	0.0	0.04	N/A
88	-5.64516495627466	0.0	0.04	N/A
89	-5.64516495627466	0.0	0.04	N/A
90	-5.64516495627466	0.0	0.04	N/A
91	-5.64516495627466	0.0	0.04	N/A
92	-5.64516495627466	0.0	0.04	N/A
